文件名,噪声类型,去噪方法,原始信噪比(dB),去噪后信噪比(dB),信噪比提升(dB),噪声特征
part1.wav,带状噪声,自适应陷波滤波,6.0206003,-11.432317409434658,-17.45291772834335,"{'mean_spectrum': array([6.7281704e+00, 5.9839134e+00, 1.3026805e+01, ..., 2.1625806e-04,
       2.1668864e-04, 2.0210301e-04], shape=(1025,), dtype=float32), 'std_spectrum': array([1.9945192e+01, 1.2783995e+01, 1.7363119e+01, ..., 2.3247295e-03,
       2.3221166e-03, 2.3238950e-03], shape=(1025,), dtype=float32), 'band_energies': [np.float32(0.8997151), np.float32(0.06003019), np.float32(0.02608124), np.float32(0.008961284), np.float32(0.0042408626), np.float32(0.0008906822), np.float32(4.1145104e-05), np.float32(3.945557e-05)], 'spectral_flatness': np.float32(0.0022172919), 'spectral_flatness_std': np.float32(0.03811698), 'spectral_centroid': np.float64(547.9829806586123), 'spectral_bandwidth': np.float64(751.9697386020046), 'spectral_contrast': array([19.06889956, 14.38521214, 16.48477724, 18.31133485, 22.05464397,
       25.20021434, 22.43223759]), 'energy_ratio': np.float32(1.1866341), 'signal_kurtosis': np.float32(3.706387), 'signal_skewness': np.float64(0.44567474722862244), 'has_bursts': True, 'burst_ratio': 0.04604444444444444, 'has_band_noise': True, 'low_freq_ratio': np.float32(0.9425419)}"
part2.wav,"带状噪声, 冲击噪声",自适应陷波滤波,6.0206003,-11.240421602794793,-17.261021921703485,"{'mean_spectrum': array([9.8666906e+00, 1.0377753e+01, 1.3165081e+01, ..., 2.5235271e-04,
       2.6302246e-04, 2.2877927e-04], shape=(1025,), dtype=float32), 'std_spectrum': array([2.1926497e+01, 1.4683051e+01, 1.2938024e+01, ..., 9.0143585e-04,
       9.6798752e-04, 8.2724332e-04], shape=(1025,), dtype=float32), 'band_energies': [np.float32(0.8255439), np.float32(0.0904805), np.float32(0.05408035), np.float32(0.019676045), np.float32(0.0072934143), np.float32(0.0027596685), np.float32(0.00011982804), np.float32(4.6276848e-05)], 'spectral_flatness': np.float32(0.0006155057), 'spectral_flatness_std': np.float32(0.023062197), 'spectral_centroid': np.float64(784.5517456256964), 'spectral_bandwidth': np.float64(1056.6785216432868), 'spectral_contrast': array([15.52222472, 15.43619358, 16.93851821, 16.34647506, 21.38160014,
       29.00760905, 28.90019301]), 'energy_ratio': np.float32(1.466796), 'signal_kurtosis': np.float32(5.6413136), 'signal_skewness': np.float64(0.1202554851770401), 'has_bursts': True, 'burst_ratio': 0.04171844487839517, 'has_band_noise': True, 'low_freq_ratio': np.float32(0.88490736)}"
