文件名,格式,文件大小(KB),采样率,声道数,比特率,时长(秒),专业音频制作得分,移动设备得分,流媒体服务得分,归档存储得分,实时处理得分,语音内容得分,波形相关度,梅尔频谱RMSE,MFCC差异,谱质心差异,质量综合得分,WAV平均得分,WAV-专业音频制作平均得分,WAV-移动设备平均得分,WAV-流媒体服务平均得分,WAV-归档存储平均得分,WAV-实时处理平均得分,WAV-语音内容平均得分,AAC平均得分,AAC-专业音频制作平均得分,AAC-移动设备平均得分,AAC-流媒体服务平均得分,AAC-归档存储平均得分,AAC-实时处理平均得分,AAC-语音内容平均得分,MP3平均得分,MP3-专业音频制作平均得分,MP3-移动设备平均得分,MP3-流媒体服务平均得分,MP3-归档存储平均得分,MP3-实时处理平均得分,MP3-语音内容平均得分
音乐_44100Hz_16bit.wav,WAV,861.37,44100,1,705600,10.000000,4.3,6.5,6.2,5.4,5.9,6.7,0.015200000256299973,25.770000457763672,68.62000274658203,2436.24,32.4,,,,,,,,,,,,,,,,,,,,,
音乐_44100Hz_8bit.wav,WAV,430.71,44100,1,352800,10.000000,4.4,6.8,6.4,5.6,6.0,7.0,0.015200000256299973,26.350000381469727,64.88999938964844,2385.63,33.5,,,,,,,,,,,,,,,,,,,,,
音乐_44100Hz_AAC_128kbps.aac,AAC,163.31,44100,1,131448,10.000000,4.4,6.9,6.5,5.6,6.1,7.1,0.015200000256299973,25.920000076293945,69.31999969482422,2424.71,32.2,,,,,,,,,,,,,,,,,,,,,
音乐_44100Hz_AAC_192kbps.aac,AAC,186.21,44100,1,150170,10.000000,4.4,6.9,6.5,5.6,6.1,7.1,0.015300000086426735,25.850000381469727,69.0,2425.99,32.3,,,,,,,,,,,,,,,,,,,,,
音乐_44100Hz_AAC_256kbps.aac,AAC,186.36,44100,1,150287,10.000000,4.4,6.9,6.5,5.6,6.1,7.1,0.015300000086426735,25.850000381469727,69.0,2437.55,32.3,,,,,,,,,,,,,,,,,,,,,
音乐_44100Hz_MP3_128kbps.mp3,MP3,157.18,44100,1,128000,10.031020,4.4,6.9,6.5,5.7,6.1,7.1,0.015200000256299973,25.760000228881836,68.51000213623047,2348.3,32.6,,,,,,,,,,,,,,,,,,,,,
音乐_44100Hz_MP3_192kbps.mp3,MP3,235.76,44100,1,192000,10.031020,4.4,6.9,6.4,5.6,6.1,7.1,0.015200000256299973,25.739999771118164,68.45999908447266,2345.71,32.6,,,,,,,,,,,,,,,,,,,,,
音乐_44100Hz_MP3_320kbps.mp3,MP3,392.9,44100,1,320000,10.031020,4.4,6.8,6.4,5.6,6.0,7.0,0.015200000256299973,25.739999771118164,68.48999786376953,2345.07,32.6,,,,,,,,,,,,,,,,,,,,,
音乐_44100Hz_MP3_64kbps.mp3,MP3,78.61,44100,1,64000,10.031020,4.5,6.9,6.5,5.7,6.1,7.2,0.01489999983459711,25.700000762939453,68.51000213623047,2047.05,32.9,,,,,,,,,,,,,,,,,,,,,
音乐_48000Hz_16bit.wav,WAV,937.54,48000,1,768000,10.000000,4.3,6.5,6.1,5.4,5.9,6.7,0.015200000256299973,25.770000457763672,68.62000274658203,2436.5,32.4,,,,,,,,,,,,,,,,,,,,,
音乐_48000Hz_24bit.wav,WAV,1406.29,48000,1,1152000,10.000000,4.2,6.3,5.9,5.2,5.7,6.4,0.015200000256299973,25.770000457763672,68.62000274658203,2438.18,32.4,,,,,,,,,,,,,,,,,,,,,
音乐_8000Hz_16bit.wav,WAV,156.29,8000,1,128000,10.000000,4.5,6.9,6.5,5.7,6.1,7.2,0.015200000256299973,24.969999313354492,66.87999725341797,1649.29,33.9,,,,,,,,,,,,,,,,,,,,,
平均得分,汇总,,,,,,,,,,,,,,,,,7.42,6.93,7.73,7.68,7.57,6.66,7.94,7.55,6.9,7.95,7.85,7.65,6.8,8.15,7.62,7.09,7.96,7.9,7.77,6.81,8.21
